summary,sentiment,keywords
" VistaShares filed this week for a suite of ETFs designed to replicate the holdings of famed money managers like Bill Ackman, Stanley Druckenmiller and Michael Burry . VistaShares plans to launch funds tracking portfolios of Ackman’s portfolios .  The VistaShares Pershing Square Select ETF would be composed of up to 20 stocks reflecting the publicly disclosed holdings of Ackman's firm . The other funds — seven in total, including two based on Druckenmiller’s Duquesne family office and a Berkshire one — would employ similar strategies .  The strategy fits into a push to democratize institutional-style investing in a low-cost wrapper . VistaShares already runs the VistaShares Target 15 Berkshire Select Income ETF (ticker OMAH) The issuer may be looking to replicate the success it’s seen with that vehicle .  VistaShares runs three ETFs altogether, including OMAH . Its co-founder, Jon McNeill, previously served as president at Tesla, and also held a stint at Lyft .  Tracking 13F filings because they offer a rare glimpse into the portfolios of top fund managers,” said Bloomberg Intelligence’s Athanasios Psarofagis . Traditionally, this hedge-fund category has been tough to crack in the ETF wrapper .",neutral,"etf, etfs, holdings, portfolios, stocks"
" Wednesday’s total option volume of 43.6 million contracts resulted in net open interest growth of 5.76 million calls and 4.84 million puts . NVIDIA (NVDA), Tesla (TSLA), Taiwan Semi (TSM) andTrumpMedia (DJT) saw the greatest growth .  Nvidia price target raised to $135 from $120 at DA Davidson and $165 from $150 at Raymond James . Nvidia CEO about AI: Risks are ‘Priced-in’",positive,"priced, nvidia, price, nvda, puts"
" Tesla CEO Elon Musk confirms his exit from Washington DC . Tesla sales in Europe nearly halved last month amid backlash against Musk . Tesla shares have risen this week, despite data showing sales have fallen .  Sales of Tesla (TSLA) vehicles dropped by 49% to 7,261 units in April, compared with the same month last year . The EV maker's market share declined to 0.7% from 1.3% in April of 2024 .  Yahoo Finance UK readers believe Tesla sales in Europe could recover amid backlash against Musk . 18% of respondents believe sales could recover, while 75% disagreed and 7% were undecided on the matter .",negative,"tesla, shares, ev, sales, musk"
" Nvidia CEO Jensen Huang believes Tesla's robot could be the first to reach mass adoption and trigger a multi-trillion-dollar industry . ""I love working with him,"" he said, ""We’ve built some amazing computers together""  Nvidia also reported first-quarter revenue of $44.1 billion, marking a 69% increase year-over-year and a 12% rise from previous quarter . Huang: ""I think this is likely to be the next multi-trillion dollar industry""  Deloitte's fastest-growing software company is transforming 7 billion smartphones into income-generating assets –with $1,000 you can invest at just $0.30/share! inH20revenue resulting from export restrictions .",positive,"revenue, billion, tesla, industry, income"
 Morgan Stanley analysts say Tesla is key to U.S. competitiveness in artificial intelligence and robotics . The bank's latest note outlines 11 developments shaping Tesla’s trajectory . These range from China's gamified robot races to the sharp EV price cuts from BYD .  Morgan Stanley reaffirms its Overweight rating and $410 price target on the stock . The firm also highlighted Tesla's ongoing role in cross-pollinating Musk's ventures: “Grok in the car. deeper integration with Musk’s xAI venture.”  UBS: Bull case scenario for global stock market gaining traction gaining traction . UBS says bull case scenario is gaining traction in global stock markets .,positive,"tesla, markets, market, stock, competitiveness"
" The ultra-fast electric vehicle (EV) batteries market is projected to experience significant growth, with a compound annual growth rate of 11.27% from 2025 to 2030 . Solid-state batteries are gaining popularity for their higher energy capacity, quicker charging, and improved safety compared to traditional lithium-ion options .  XPENG launched the MONA M03 Max, an affordable electric sedan featuring advanced AI driving capabilities . At the same time, Lucid Grouplagged, down 8.4% to close at $2.41.41 . Lucid Group's upcoming Gravity SUV launch could rapidly drive significant revenue growth .  Simply Wall St provides commentary based on historical data and analyst forecasts only using an unbiased methodology . It does not constitute a recommendation to buy or sell any stock and does not take account of your objectives, or your financial situation .  Simply Wall St. has been in contact with SimplyWallst.com for over two years . The company is now in touch with the world's largest online retailer, Amazon .",negative,"ev, stock, affordable, buy, batteries"
" Tesla is testing driverless vehicles in Austin, Texas, with plans to deliver the first Model Y in June . CEO Elon Musk says the testing is ""a month ahead of schedule"" and reports no incidents .  In March, Tesla secured a transportation charter-party carrier (TCP) permit from the California Public Utilities Commission . This permit is essential for Tesla to own and operate a fleet for pre-arranged trips, including those involving employees .",neutral,"tesla, permit, driverless, austin, california"
" Tesla investors want Elon Musk to work at least 40 hours a week at the company . Musk is leaving the U.S. government this week . Tesla investors are asking for Musk to focus on his role as CEO and disclose how the board would replace him .  The letter’s 12 signees are long term investors who own or oversee investments of approximately 7.9 million of Tesla's 3.2 billion shares . “Just because he’re leaving DOGE doesn’t mean he's focusing on Tesla,” a SOC Investment Group executive director said .  Tesla stock is down more than 14% as vehicle registrations plummet due to increased Chinese competition . Tesla investors demanded the board include a time requirement as it assesses Musk’s compensation .  The signees also called for a clear succession plan at the company, including identifying ‘emergency’ successors . Shareholders urged Tesla to appoint at least one director who is “truly independent” from the company .  Tesla's board also includes Ira Ehrenpreis, chair of Tesla’s compensation committee and longtime friend of Musk . Musk reaffirmed his desire to lead Tesla . Investors are adamant that the CEO has a long way to go in righting the EV maker's course .  Investors will need to see Musk invest time in Tesla over the next six months to a year, Frerichs said . Musk will have to correct what Wedbush Securities managing director Dan Ives previously called a “brand tornado crisis moment .",neutral,"tesla, ceo, musk, shareholders, investors"
" NVIDIA NVDA, Meta Platforms META and Tesla TSLA are featured in our new feature series . We look for certain surprises going in, and we always get more than we bargained for . My focus is on three big areas: GPU Demand, AI Factories, and the China Predicament .  China is a potential addressable market for NVIDIA of $50 billion . Jensen also spent considerable time on the call putting the China predicament into perspective .  NVDA shares popped up to $144 in after-hours on that tidbit and look poised to open there this morning . With a solid 13 weeks in Q2, we could potentially see over 15,000 units shipped! That's very bullish .  NVIDIA CEO: ""Our customers’ commitments are firm"" Cloud Service Providers (CSPs) Microsoft Azure, Amazon AWS, Google Cloud, and Oracle Cloud have insatiable demand for NVIDIA . They are all in a massive build-out phase that will last for two to three years .  NVIDIA CEO Jensen believes robotics will be a multi-trillion-dollar industry . The next upgrade of Blackwell is going to start shipping this quarter . GB300 will leverage the same architecture, same architecture .  The GB300 drop-in design will allow CSPs to seamlessly transition their systems and manufacturing used for GB200 while maintaining high yields in performance and memory . This has been a key element of the NVIDIA product roadmap and annual cadence: everything works together and nothing becomes obsolete .  Jensen believes that every country will learn they need to control their own data . In the AI economy, where there is knowledge and intelligence, there is potential wealth . This is the benefit of NVIDIA’s programmable CUDA architecture .  NVIDIA’s full stack architecture is underpinning AI factory deployments as industry leaders like AT&T, BYD, Capital One, Foxconn, MediaTek, and Telenor are strategically vital sovereign clouds like those recently announced in Saudi Arabia, Taiwan, and The UAE .  With half of the world’s AI researchers based there, the platform that wins China is positioned to lead globally . With the current White House policy, the $50 billion China market is effectively closed to US industry . The US weakens its position with China by withholding technology because it forces them to develop all their own .  The AI race is not just about chips, it's about which stack the world runs on . As that stack grows to include 6G and quantum, US global infrastructure leadership is at stake . Shielding Chinese chipmakers from US competition only strengthens them abroad .  NVIDIA is on a path to $500 billion in annual revenues over the next five years, Jensen says . NVIDIA shares looking for a brighter open this morning above $140, I would look for any initial selling as a buying opportunity .  Since 2000, our top stock-picking strategies have blown away the S&P's +7.7% average gain per year . Today you can access their live picks without cost or obligation .  These returns are from hypothetical portfolios consisting of stocks with Zacks Rank = 1 that were rebalanced monthly with zero transaction costs . These are not the returns of actual portfolios of stocks . The S&P 500 is an unmanaged index .  This article was originally published by Zacks Investment Research . See the full report on the stock market at 10:30 a.m. ET .",neutral,"nvidia, nvda, gpu, azure, gb300"
" Tesla's electric vehicle sales are plummeting, and continued weakness could lead to massive losses for the stock . CEO Elon Musk believes self-driving cars and humanoid robots will eventually make Tesla the world's most valuable company one day . Today, those five companies areMicrosoft,Apple,Nvidia,Amazon, and Alphabet, and they have a combined market capitalization of $13.6 trillion .  Tesla is seeing plummeting demand for electric vehicles . Most of its revenue still comes from selling electric vehicles (EVs) Tesla can't grow production 50% per year if sales aren't keeping up . Deliveries plunged even further in the first quarter of 2025 .  Analyst estimates indicate Tesla might deliver as little as 350,000 cars during the second quarter, or a year-over-year drop of more than 20% . EV sales overall soared 28% across Europe in April . Chinese automakerBYDsaw 359% increase in sales across the region .  Last October, Tesla unveiled its long-awaited Cybercab robotaxi . It has no pedals or steering wheel because it's designed to run entirely on the company's Full Self-Driving (FSD) software . The unsupervised version of Tesla's FSD isn't approved for use on public roads yet .  Tesla CEO Musk says the company could generate $10 trillion in revenue over the long term . The company could be producing millions of robots annually by 2029 or 2030 . The Optimus robot could be used for dangerous jobs and repetitive tasks that humans don't want to do .  Tesla's stock is trading at an eyewatering price-to-earnings (P/E) ratio of 186.5 . Nvidia, Microsoft, Amazon, Apple, and Alphabet trade at an average P/E ratio of just 32.2: Tesla's earnings per share (EPS)plunged 71% during the first quarter of 2025 .  Tesla is destined for a sharp decline instead, bringing its P/E ratio in line with those of its big-tech peers . As a result, there is little hope the company will grow to exceed the combined value of Nvidia, Microsoft, Amazon, Apple and Alphabet anytime soon .  Right now, we’re issuing ‘Double Down’ alerts for three incredible companies, available when you joinStock Advisor, and there may not be another chance like this anytime soon . If you invested $1,000 when we doubled down in 2004,you’d have $651,761!  Could Send Its Stock Plunging by 70% instead of plummeting by more than 70% . The Motley Fool has more than 1,000 shares of stock in its portfolio .",negative,"tesla, ev, robotaxi, robot, automakerbydsaw"
" Tesla, Inc. (NASDAQ:TSLA) is an automotive and clean energy company that leverages advanced artificial intelligence in its autonomous driving technology and robotics initiatives . The firm said it’s standing by the stock after Elon Musk announced he was leaving DOGE, or the Department of Government Efficiency .  Street currently have a consensus ‘Buy’ rating on the stock . The average price target of $306 implies a 15% upside, however, the Street-high target of . $500 implies an upside of 39% . Overall, TSLAranks 6thon our list of AI stocks on Wall Street’s radar .",neutral,"tesla, stock, stocks, nasdaq, tsla"
" President Donald Trump will hold a news conference at the White House with Elon Musk on Friday . The event gives an opportunity for the president and his largest campaign benefactor to dispel any notion of an acrimonious divorce . In the past two weeks, Musk has sworn off future political donations and pledged to donate to the president .  Musk said he was “disappointed” that the measure increased budget deficits and “undermines’s work that the DOGE team is doing” Musk was a special government employee limited to 130 days working for the federal government without having to divest his businesses .  Tesla has recovered about half the decline in its stock price since April 22 . Musk told investors that his time devoted to DOGE would “drop significantly” His full exit comes at a critical time for Tesla Inc. running his various companies .  Musk's top lieutenant at DOGE, Steve Davis, also departed on Thursday . Davis is the chief executive officer of the Boring Co., Musk’s tunnel construction business . Congress now faces key decisions about whether to make those cuts permanent .",negative,"musk, tesla, executive, donald, congress"
" Uber shares hit pothole ahead of Tesla Robotaxi debut . The ride-sharing company's stock got rear-ended by investors on May 29 . Tesla CEO Elon Musk gave the world update on the project's status in aMay 29 post .  The report left tread marks all over Uber's stock, with shares sliding 5.8% at last check . BMO Capital said Uber's underperformance in light of the announced robotaxi launch date was expected . The firm believes shares are oversold at current levels .  Tigress Financial analyst Ivan Feinseth raised the firm's price target on Uber to $110 from $103 and affirmed a buy rating on the shares . Uber continues to benefit from strong ridership and delivery demand, ongoing innovation, and partnerships to drive substantial growth, the analyst said .  Khosrowshahi said last month that Uber would ""love to work with"" Musk's Tesla . Uber said it would expand to 15 cities over the next five years, including some in Europe and the United States .  Tesla's robotaxi ""looks like a disaster waiting to happen,"" Forbes senior editor says . Elon Musk has been dismissive of Waymo's technology, saying the issue with Tesla's cars is it costs more money .  ""Trying to be very low cost out of the gate for a technology you have not yet mastered doesn't really seem like the best idea,"" he said . Tesla did not immediately respond to a request for comment .",negative,"uber, tesla, robotaxi, shares, stock"
" Two board of directors members have sold nearly $200 million in stock ahead of the company's robotaxi launch in Texas . These sales add to a history of board members cashing out and could be a red flag ahead of a key potential stock catalyst .  Venture capital firmDBL Partners, filed Form 144 for the sale of 477,572 Tesla shares worth around $162.1 million . Musk's sale comes from the exercise of options . Ehrenpreis' term on the Tesla board ends this year and the sale could be his way of exiting his position .  The timing of the sales ahead of the robotaxi launch could instill less confidence in investors . An insider buy from board memberJoe Gebbiaof $1 million earlier this year was celebrated by Tesla fans, but is one of the few insider buys in recent history .  Cytonics was accused of being overcompensated . The board reached a settlement to return hundreds of millions of dollars in cash and options to the company .",neutral,"shares, stock, investors, buys, sale"
" JPMorgan CEO Jamie Dimon said he and Tesla CEO Elon Musk have ""hugged it out"" Dimon explained that Musk attended one of JPMorgan’s conferences and settled some of their differences .  JPMorgan dropped a lawsuit against Tesla in November 2021 for $162.2 million . The lawsuit was dropped in November 2024 . Dimon: ""The guy is our Einstein, and so I’d like to be helpful to him""  Tesla CEO Elon Musk is the richest person in the world . With a market cap of approximately $1.27 trillion, Tesla is more than 10 times the size of Ford and General Motors combined . Wall Street analysts see potential upside in Tesla shares .  Musk has long been one of the most influential voices in cryptocurrency . In 2021, he made his stance clear: “I’m a supporter of bitcoin and the idea of cryptocurrency in general” Musk’s words often move markets, with his comments sometimes triggering sharp price swings .  Elon Musk offered a piece of advice on inflation in 2022 . He said it was better to own physical things like a home or stock in companies you think make good products . Bitcoin can’t be printed at will by central banks .  First National Realty Partners allows accredited investors to diversify their portfolio through grocery-anchored commercial properties . With a minimum investment of $50,000, investors canown a share of properties leased by national brands like Whole Foods, Kroger and Walmart .  You can tap into this market by investing in shares of vacation homes or rental properties through Arrived . Backed by world-class investors including Jeff Bezos, Arrived allows you to invest in shares .  Access to this $22.5 trillion asset class has traditionally been limited to elite investors . You can start investing with as little as $100, potentially earning quarterly dividends . get started, simply browse through their selection of vetted properties .",neutral,"tesla, richest, musk, jpmorgan, ceo"
" Elon Musk is leaving Washington after a turbulent stint in government . Musk's association with right-wing politics damaged Tesla's brand and tanked sales . Profits plunged 71% at Tesla in the first three months of the year .  Tesla's lineup of cars is aging and its foreign rivals have become more competitive . The blowback from Musk's time in Washington has some analysts and investors worried .  Elon Musk has promised to test 10 or 20 robotaxis in Austin, Texas, then ramp that up to hundreds of thousands by the end of next year . Federal safety regulators last monthrequested data from Telsa on how the robotaxis will perform in low-visibility conditions .  The driverless taxi company Waymo just logged its ten-millionth trip and is now operating in San Francisco, Los Angeles, and several other cities . Advertisers are inching back, though maybe not for a good reason .  SpaceX doesn't disclose its finances . One of the company's rockets exploded over the Indian Ocean this week . It's not clear how well Musk's rocket company is faring .  A SpaceX satellite internet subsidiary called Starlink also has been striking deals to set up in foreign countries . But it's not clear how much is the result of cold business calculation and how much political calculation .  Musk had called the rule requiring Black partial ownership of any new foreign venture “openly racist"" The countrydenies that politicsinfluenced its decision .",negative,"musk, tesla, spacex, robotaxis, austin"
" Elon Musk is leaving DOGE, the volunteer commission that essentially shuttered the US Agency for International Development . Musk's hubris punctured and his visions of a lean government evaporating .  The chainsaw bravado is gone, with Musk now saying with what sounds like regret that hegot too deeply involved in politics . Trump was happy to let Musk attack the bureaucracy, which fit with his conspiracy theory of a “deep state” that ought to be dismantled . But Trump was never going to do the heavy lifting required to wrangle legislation that would be necessary to downsize the government for real .  DOGE has no legal authority to cut federal spending, close federal agencies, cancel federal contracts . Most spending or spending cuts require congressional legislation . Most moves to create or eliminate government agencies require congressional approval .  DOGE's original goal was $2 trillion in annual savings, downsized several times to $500 billion . The House of Representatives recently passed a bill that would formalize just $9.3 billion in cuts . Critics say the bill is a sham cost-cutting effort that leaves the worst aspects of the federal budgeting process unmolested .  The Trump budget and tax bill will make modest cuts, but impose nothing like the fiscal discipline Musk seeks . Unfinanced tax cuts will likely add $3 trillion to $4 trillion to the national debt, at a time when markets are beginning to groan under unprecedented levels of American debt .  The huge federal bureaucracy is especially resistant to the kind of emergency surgery Musk and others have managed to perform at privately owned companies . Musk, to his credit, succeeds where other people fail . Musk says the spirit of DOGE will live on in the Trump administration because “DOGE is a way of life”  Trump only wanted DOGE as long as Musk was willing to be the sponge . Musk got tired of that, and if Musk can't do it, nobody else can .",negative,"musk, congressional, budgeting, legislation, budget"
" Tesla CEO Elon Musk announced that his time with the Trump administration as a special government employee has come to an end . Musk wrote in a post on X that he appreciated the opportunity to create the Department of Government Efficiency (Doge) His departure from the White House comes as a welcome development for investors in his various companies .  Ives said Tesla's focus on autonomous vehicles and robotics powered by artificial intelligence will drive the company's future . He said the ""brand damage and black cloud"" over Tesla that was related to political blowback is in the rearview mirror .  A group of Tesla shareholders sent a letter on Wednesday to Robyn Denholm, the chair of Tesla's board of directors, urging the board to require that Musk spend at least 40 hours a week working at Tesla . The letter said that Musk's outside endeavors appear to have diverted his time and attention from actively managing Tesla's operations .  Tesla also requested that Tesla adopt and disclose a CEO succession plan as well as appoint ""at least one new truly independent director with no personal ties to other Board members""",neutral,"ceo, tesla, musk, shareholders, directors"
" Tesla is targeting a June 12 launch date for its robotaxi service in Austin, Texas, according to sources . CEO Elon Musk confirmed that for the past several days, Tesla has been testing self-driving Model Y cars (no one in driver's seat) on Austin public streets with no incidents"" Musk added that Tesla is planning its first ""self-delivery"" from the factory to a customer next month .  Tesla plans to run at least 4,500 tests per month, Morningstar analyst says . Elon Musk has said previously that if all goes well, Tesla would expand the number of vehicles in the fleet .  In a post on X late last night, Musk revealed that his time in Washington was coming to an end . Musk's declaration comes after he said he would be back ""to spending 24/7 at work and sleeping in conference/server/factory rooms""  Ives maintained his Outperform rating and $500 price target for Tesla . Ives believes that while there will be technical setbacks on the path toward full autonomy, the opportunity could be worth $1 trillion .",neutral,"tesla, musk, robotaxi, ceo, cars"
